continent,country,name,spring_type,address,street_address,state,state_district,city,postcode,county,road,village,aminity,gmaps,lat,long
Africa,South Africa,The Baths Natural Hot Springs,Paid Hot Spring,"1-4, Resort Road, Cederberg Ward 1, Cederberg Local Municipality, West Coast District Municipality, Western Cape, South Africa",Resort Road,England,,Cederberg Local Municipality,,West Coast District Municipality,Resort Road,,,"https://maps.google.com/?q=-32.740764,19.034961",-32.740764,19.034961
Africa,South Africa,Mont Rochelle Spring,Public Drinking Spring,"R45, Stellenbosch Ward 1, Franschhoek, Stellenbosch Local Municipality, Cape Winelands District Municipality, Western Cape, 7690, South Africa",R45,Maine,,Stellenbosch Local Municipality,7690,Cape Winelands District Municipality,R45,,,"https://maps.google.com/?q=-33.902035,19.156071",-33.902035,19.156071
Africa,South Africa,"Newlands Spring, Cape Town, 7700",Public Drinking Spring,"Newlands Spring, Springs Way, Cape Town Ward 59, Cape Town, City of Cape Town, Western Cape, 7700, South Africa",Springs Way,Nova Scotia,,Cape Town,7700,City of Cape Town,Springs Way,,,"https://maps.google.com/?q=-33.974701,18.457406",-33.974701,18.457406
Africa,South Africa,"Newlands Spring - 2, Cape town",Public Drinking Spring,"Newlands Spring, Claremont Boulevard, South African Breweries, Newlands, Cape Town, City of Cape Town, Western Cape, 7700, South Africa",Claremont Boulevard,Oregon,,Cape Town,7700,City of Cape Town,Claremont Boulevard,,,"https://maps.google.com/?q=-33.974583,18.464829",-33.974583,18.464829
Africa,South Africa,"Majonini Spring, Tzaneen, South Africa",Public Drinking Spring,"Greater Letaba Ward 5, Greater Letaba Local Municipality, Mopani District Municipality, Limpopo, South Africa",,Pennsylvania,,Greater Letaba Local Municipality,,Mopani District Municipality,,,,"https://maps.google.com/?q=-23.635966,30.243178",-23.635966,30.243178
Africa,South Africa,"Albert's Farm Spring, Johannesburg, Gauteng, South Africa",Public Drinking Spring,"De La Rey Road, Waterval Estate, Johannesburg Ward 88, Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa",De La Rey Road,Tennessee,,Johannesburg,2001,City of Johannesburg Metropolitan Municipality,De La Rey Road,,,"https://maps.google.com/?q=-26.155315,27.970259",-26.155315,27.970259
Africa,South Africa,"Kommetjie Spring, Cape Town, South Africa",Public Drinking Spring,"BP Newlands, 35, Newlands Avenue, Newlands, Cape Town, City of Cape Town, Western Cape, 7700, South Africa",Newlands Avenue,Texas,,Cape Town,7700,City of Cape Town,Newlands Avenue,,,"https://maps.google.com/?q=-33.971195,18.454861",-33.971195,18.454861
Africa,South Africa,"Jongensfontein, Western Cape, South Africa",Public Drinking Spring,"Hessequa Ward 3, Jongensfontein, Hessequa Local Municipality, Garden Route District Municipality, Western Cape, South Africa",,Wellington,,Hessequa Local Municipality,,Garden Route District Municipality,,,,"https://maps.google.com/?q=-34.428249,21.329216",-34.428249,21.329216
Africa,South Africa,"Newlands Spring, Cape Town, South Africa",Public Drinking Spring,"Newlands Spring, Springs Way, Cape Town Ward 59, Cape Town, City of Cape Town, Western Cape, 7700, South Africa",Springs Way,,,Cape Town,7700,City of Cape Town,Springs Way,,,"https://maps.google.com/?q=-33.974445,18.457779",-33.974445,18.457779
Asia,India,Boxing Tiger,Private Drinking Spring,"Manki, Panna Tahsil, Panna, Madhya Pradesh, India",,Colorado,Panna,,,Panna Tahsil,,Manki,,"https://maps.google.com/?q=24.678892,80.156495",24.678892,80.156495
Asia,India,"Dongar Pimpla, Ambajogai, Maharashtra, India",Public Drinking Spring,"Dongar Pimpla, Ambejogai, Beed, Maharashtra, India",,Michigan,Beed,,,,,Dongar Pimpla,,"https://maps.google.com/?q=18.761973,76.311789",18.761973,76.311789
Asia,India,"Gaimukh, Nagzari, Ambajogai, Maharashtra, 431517, India",Public Drinking Spring,"Ambejogai, Beed, Maharashtra, India",,Michigan,Beed,,,,,,,"https://maps.google.com/?q=18.740816,76.412691",18.740816,76.412691
Asia,India,"Mulshi Springs, Luthravan, India",Public Drinking Spring,"Purohit Hospital, शिवाजी रस्ता, Kasba Peth, Pune City, Pune, Maharashtra, 411002, India",शिवाजी रस्ता,Utah,Pune,Pune City,411002,,शिवाजी रस्ता,,,"https://maps.google.com/?q=18.52047,73.856621",18.52047,73.856621
